,Stazione,Data inizio,Data fine,Strumento,PM2.5,Unità di misura,F1,F2,F3,F4
72,GIARDINI MARGHERITA,13/03/2010,14/03/2010,FAI SWAM 5A,29.0,ug/m3,,1,1,1
73,GIARDINI MARGHERITA,14/03/2010,15/03/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
74,GIARDINI MARGHERITA,15/03/2010,16/03/2010,FAI SWAM 5A,35.0,ug/m3,,1,1,1
75,GIARDINI MARGHERITA,16/03/2010,17/03/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
76,GIARDINI MARGHERITA,17/03/2010,18/03/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
77,GIARDINI MARGHERITA,18/03/2010,19/03/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
78,GIARDINI MARGHERITA,19/03/2010,20/03/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
79,GIARDINI MARGHERITA,20/03/2010,21/03/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
80,GIARDINI MARGHERITA,21/03/2010,22/03/2010,FAI SWAM 5A,62.0,ug/m3,,1,1,1
81,GIARDINI MARGHERITA,22/03/2010,23/03/2010,FAI SWAM 5A,37.0,ug/m3,,1,1,1
82,GIARDINI MARGHERITA,23/03/2010,24/03/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
83,GIARDINI MARGHERITA,24/03/2010,25/03/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
84,GIARDINI MARGHERITA,25/03/2010,26/03/2010,FAI SWAM 5A,32.0,ug/m3,,1,1,1
85,GIARDINI MARGHERITA,26/03/2010,27/03/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
86,GIARDINI MARGHERITA,27/03/2010,28/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
87,GIARDINI MARGHERITA,28/03/2010,29/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
88,GIARDINI MARGHERITA,29/03/2010,30/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
89,GIARDINI MARGHERITA,30/03/2010,31/03/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
90,GIARDINI MARGHERITA,31/03/2010,01/04/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
91,GIARDINI MARGHERITA,01/04/2010,02/04/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
92,GIARDINI MARGHERITA,02/04/2010,03/04/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
93,GIARDINI MARGHERITA,03/04/2010,04/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
94,GIARDINI MARGHERITA,04/04/2010,05/04/2010,FAI SWAM 5A,5.0,ug/m3,,1,1,1
95,GIARDINI MARGHERITA,05/04/2010,06/04/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
96,GIARDINI MARGHERITA,06/04/2010,07/04/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
97,GIARDINI MARGHERITA,07/04/2010,08/04/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
98,GIARDINI MARGHERITA,08/04/2010,09/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
99,GIARDINI MARGHERITA,09/04/2010,10/04/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
100,GIARDINI MARGHERITA,10/04/2010,11/04/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
101,GIARDINI MARGHERITA,11/04/2010,12/04/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
102,GIARDINI MARGHERITA,12/04/2010,13/04/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
103,GIARDINI MARGHERITA,13/04/2010,14/04/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
104,GIARDINI MARGHERITA,14/04/2010,15/04/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
105,GIARDINI MARGHERITA,15/04/2010,16/04/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
106,GIARDINI MARGHERITA,16/04/2010,17/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
107,GIARDINI MARGHERITA,17/04/2010,18/04/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
108,GIARDINI MARGHERITA,18/04/2010,19/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
109,GIARDINI MARGHERITA,19/04/2010,20/04/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
110,GIARDINI MARGHERITA,20/04/2010,21/04/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
111,GIARDINI MARGHERITA,21/04/2010,22/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
112,GIARDINI MARGHERITA,22/04/2010,23/04/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
113,GIARDINI MARGHERITA,23/04/2010,24/04/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
114,GIARDINI MARGHERITA,24/04/2010,25/04/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
115,GIARDINI MARGHERITA,25/04/2010,26/04/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
116,GIARDINI MARGHERITA,26/04/2010,27/04/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
117,GIARDINI MARGHERITA,27/04/2010,28/04/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
118,GIARDINI MARGHERITA,28/04/2010,29/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
119,GIARDINI MARGHERITA,29/04/2010,30/04/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
120,GIARDINI MARGHERITA,30/04/2010,01/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
121,GIARDINI MARGHERITA,01/05/2010,02/05/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,-1
122,GIARDINI MARGHERITA,02/05/2010,03/05/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
123,GIARDINI MARGHERITA,03/05/2010,04/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
124,GIARDINI MARGHERITA,04/05/2010,05/05/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
125,GIARDINI MARGHERITA,05/05/2010,06/05/2010,FAI SWAM 5A,3.0,ug/m3,,1,1,1
126,GIARDINI MARGHERITA,06/05/2010,07/05/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
127,GIARDINI MARGHERITA,07/05/2010,08/05/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
128,GIARDINI MARGHERITA,08/05/2010,09/05/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
129,GIARDINI MARGHERITA,09/05/2010,10/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
130,GIARDINI MARGHERITA,10/05/2010,11/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
131,GIARDINI MARGHERITA,11/05/2010,12/05/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
132,GIARDINI MARGHERITA,12/05/2010,13/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
133,GIARDINI MARGHERITA,13/05/2010,14/05/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
134,GIARDINI MARGHERITA,14/05/2010,15/05/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
135,GIARDINI MARGHERITA,15/05/2010,16/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
136,GIARDINI MARGHERITA,16/05/2010,17/05/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
137,GIARDINI MARGHERITA,17/05/2010,18/05/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
138,GIARDINI MARGHERITA,18/05/2010,19/05/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
139,GIARDINI MARGHERITA,19/05/2010,20/05/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
140,GIARDINI MARGHERITA,20/05/2010,21/05/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
141,GIARDINI MARGHERITA,21/05/2010,22/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
142,GIARDINI MARGHERITA,22/05/2010,23/05/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
143,GIARDINI MARGHERITA,23/05/2010,24/05/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
144,GIARDINI MARGHERITA,24/05/2010,25/05/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
145,GIARDINI MARGHERITA,25/05/2010,26/05/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
146,GIARDINI MARGHERITA,26/05/2010,27/05/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
147,GIARDINI MARGHERITA,27/05/2010,28/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
148,GIARDINI MARGHERITA,28/05/2010,29/05/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
149,GIARDINI MARGHERITA,29/05/2010,30/05/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
150,GIARDINI MARGHERITA,30/05/2010,31/05/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
151,GIARDINI MARGHERITA,31/05/2010,01/06/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
152,GIARDINI MARGHERITA,01/06/2010,02/06/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
153,GIARDINI MARGHERITA,02/06/2010,03/06/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
154,GIARDINI MARGHERITA,03/06/2010,04/06/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
155,GIARDINI MARGHERITA,04/06/2010,05/06/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
156,GIARDINI MARGHERITA,05/06/2010,06/06/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
157,GIARDINI MARGHERITA,06/06/2010,07/06/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
158,GIARDINI MARGHERITA,07/06/2010,08/06/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
159,GIARDINI MARGHERITA,08/06/2010,09/06/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
160,GIARDINI MARGHERITA,09/06/2010,10/06/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
161,GIARDINI MARGHERITA,10/06/2010,11/06/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
162,GIARDINI MARGHERITA,11/06/2010,12/06/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
163,GIARDINI MARGHERITA,12/06/2010,13/06/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
164,GIARDINI MARGHERITA,13/06/2010,14/06/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
165,GIARDINI MARGHERITA,14/06/2010,15/06/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
166,GIARDINI MARGHERITA,15/06/2010,16/06/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
167,GIARDINI MARGHERITA,16/06/2010,17/06/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
168,GIARDINI MARGHERITA,17/06/2010,18/06/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
169,GIARDINI MARGHERITA,18/06/2010,19/06/2010,FAI SWAM 5A,5.0,ug/m3,,1,1,1
170,GIARDINI MARGHERITA,19/06/2010,20/06/2010,FAI SWAM 5A,3.0,ug/m3,,1,1,1
171,GIARDINI MARGHERITA,20/06/2010,21/06/2010,FAI SWAM 5A,2.0,ug/m3,,1,1,1
172,GIARDINI MARGHERITA,21/06/2010,22/06/2010,FAI SWAM 5A,3.0,ug/m3,,1,1,1
173,GIARDINI MARGHERITA,22/06/2010,23/06/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
174,GIARDINI MARGHERITA,23/06/2010,24/06/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
175,GIARDINI MARGHERITA,24/06/2010,25/06/2010,FAI SWAM 5A,10.0,ug/m3,,1,1,1
176,GIARDINI MARGHERITA,25/06/2010,26/06/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
177,GIARDINI MARGHERITA,26/06/2010,27/06/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
178,GIARDINI MARGHERITA,27/06/2010,28/06/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
179,GIARDINI MARGHERITA,28/06/2010,29/06/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
180,GIARDINI MARGHERITA,29/06/2010,30/06/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
181,GIARDINI MARGHERITA,30/06/2010,01/07/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
182,GIARDINI MARGHERITA,01/07/2010,02/07/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
183,GIARDINI MARGHERITA,02/07/2010,03/07/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
184,GIARDINI MARGHERITA,03/07/2010,04/07/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
185,GIARDINI MARGHERITA,04/07/2010,05/07/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
186,GIARDINI MARGHERITA,05/07/2010,06/07/2010,FAI SWAM 5A,19.0,ug/m3,,1,1,1
187,GIARDINI MARGHERITA,06/07/2010,07/07/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
188,GIARDINI MARGHERITA,07/07/2010,08/07/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
