,Stazione,Data inizio,Data fine,Strumento,NO2 (Biossido di azoto),Unità di misura,F1,F2,F3,F4
136,DE AMICIS,08/01/2018 15.00.00,08/01/2018 16.00.00,API 200E,40.0,ug/m3,,1.0,1.0,1
137,DE AMICIS,08/01/2018 16.00.00,08/01/2018 17.00.00,API 200E,42.0,ug/m3,,1.0,1.0,1
138,DE AMICIS,08/01/2018 17.00.00,08/01/2018 18.00.00,API 200E,42.0,ug/m3,,1.0,1.0,1
139,DE AMICIS,08/01/2018 18.00.00,08/01/2018 19.00.00,API 200E,46.0,ug/m3,,1.0,1.0,1
140,DE AMICIS,08/01/2018 19.00.00,08/01/2018 20.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
141,DE AMICIS,08/01/2018 20.00.00,08/01/2018 21.00.00,API 200E,40.0,ug/m3,,1.0,1.0,1
142,DE AMICIS,08/01/2018 21.00.00,08/01/2018 22.00.00,API 200E,37.0,ug/m3,,1.0,1.0,1
143,DE AMICIS,08/01/2018 22.00.00,08/01/2018 23.00.00,API 200E,34.0,ug/m3,,1.0,1.0,1
144,DE AMICIS,08/01/2018 23.00.00,09/01/2018,API 200E,32.0,ug/m3,,1.0,1.0,1
145,DE AMICIS,09/01/2018,09/01/2018 1.00.00,API 200E,32.0,ug/m3,,1.0,1.0,1
146,DE AMICIS,09/01/2018 1.00.00,09/01/2018 2.00.00,API 200E,,ug/m3,,-1.0,-1.0,-1
147,DE AMICIS,09/01/2018 2.00.00,09/01/2018 3.00.00,API 200E,29.0,ug/m3,,1.0,1.0,1
148,DE AMICIS,09/01/2018 3.00.00,09/01/2018 4.00.00,API 200E,19.0,ug/m3,,1.0,1.0,1
149,DE AMICIS,09/01/2018 4.00.00,09/01/2018 5.00.00,API 200E,19.0,ug/m3,,1.0,1.0,1
150,DE AMICIS,09/01/2018 5.00.00,09/01/2018 6.00.00,API 200E,21.0,ug/m3,,1.0,1.0,1
151,DE AMICIS,09/01/2018 6.00.00,09/01/2018 7.00.00,API 200E,26.0,ug/m3,,1.0,1.0,1
152,DE AMICIS,09/01/2018 7.00.00,09/01/2018 8.00.00,API 200E,33.0,ug/m3,,1.0,1.0,1
153,DE AMICIS,09/01/2018 8.00.00,09/01/2018 9.00.00,API 200E,30.0,ug/m3,,1.0,1.0,1
154,DE AMICIS,09/01/2018 9.00.00,09/01/2018 10.00.00,API 200E,32.0,ug/m3,,1.0,1.0,1
155,DE AMICIS,09/01/2018 10.00.00,09/01/2018 11.00.00,API 200E,36.0,ug/m3,,1.0,1.0,1
156,DE AMICIS,09/01/2018 11.00.00,09/01/2018 12.00.00,API 200E,50.0,ug/m3,,1.0,1.0,1
157,DE AMICIS,09/01/2018 12.00.00,09/01/2018 13.00.00,API 200E,44.0,ug/m3,,1.0,1.0,1
158,DE AMICIS,09/01/2018 13.00.00,09/01/2018 14.00.00,API 200E,32.0,ug/m3,,1.0,1.0,1
159,DE AMICIS,09/01/2018 14.00.00,09/01/2018 15.00.00,API 200E,33.0,ug/m3,,1.0,1.0,1
160,DE AMICIS,09/01/2018 15.00.00,09/01/2018 16.00.00,API 200E,50.0,ug/m3,,1.0,1.0,1
161,DE AMICIS,09/01/2018 16.00.00,09/01/2018 17.00.00,API 200E,38.0,ug/m3,,1.0,1.0,1
162,DE AMICIS,09/01/2018 17.00.00,09/01/2018 18.00.00,API 200E,73.0,ug/m3,,1.0,1.0,1
163,DE AMICIS,09/01/2018 18.00.00,09/01/2018 19.00.00,API 200E,84.0,ug/m3,,1.0,1.0,1
164,DE AMICIS,09/01/2018 19.00.00,09/01/2018 20.00.00,API 200E,81.0,ug/m3,,1.0,1.0,1
165,DE AMICIS,09/01/2018 20.00.00,09/01/2018 21.00.00,API 200E,47.0,ug/m3,,1.0,1.0,1
166,DE AMICIS,09/01/2018 21.00.00,09/01/2018 22.00.00,API 200E,35.0,ug/m3,,1.0,1.0,1
167,DE AMICIS,09/01/2018 22.00.00,09/01/2018 23.00.00,API 200E,22.0,ug/m3,,1.0,1.0,1
168,DE AMICIS,09/01/2018 23.00.00,10/01/2018,API 200E,22.0,ug/m3,,1.0,1.0,1
169,DE AMICIS,10/01/2018,10/01/2018 1.00.00,API 200E,30.0,ug/m3,,1.0,1.0,1
170,DE AMICIS,10/01/2018 1.00.00,10/01/2018 2.00.00,API 200E,,ug/m3,,-1.0,-1.0,-1
171,DE AMICIS,10/01/2018 2.00.00,10/01/2018 3.00.00,API 200E,16.0,ug/m3,,1.0,1.0,1
172,DE AMICIS,10/01/2018 3.00.00,10/01/2018 4.00.00,API 200E,18.0,ug/m3,,1.0,1.0,1
173,DE AMICIS,10/01/2018 4.00.00,10/01/2018 5.00.00,API 200E,17.0,ug/m3,,1.0,1.0,1
174,DE AMICIS,10/01/2018 5.00.00,10/01/2018 6.00.00,API 200E,23.0,ug/m3,,1.0,1.0,1
175,DE AMICIS,10/01/2018 6.00.00,10/01/2018 7.00.00,API 200E,30.0,ug/m3,,1.0,1.0,1
176,DE AMICIS,10/01/2018 7.00.00,10/01/2018 8.00.00,API 200E,33.0,ug/m3,,1.0,1.0,1
177,DE AMICIS,10/01/2018 8.00.00,10/01/2018 9.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
178,DE AMICIS,10/01/2018 9.00.00,10/01/2018 10.00.00,API 200E,26.0,ug/m3,,1.0,1.0,1
179,DE AMICIS,10/01/2018 10.00.00,10/01/2018 11.00.00,API 200E,18.0,ug/m3,,1.0,1.0,1
180,DE AMICIS,10/01/2018 11.00.00,10/01/2018 12.00.00,API 200E,15.0,ug/m3,,1.0,1.0,1
181,DE AMICIS,10/01/2018 12.00.00,10/01/2018 13.00.00,API 200E,17.0,ug/m3,,1.0,1.0,1
182,DE AMICIS,10/01/2018 13.00.00,10/01/2018 14.00.00,API 200E,15.0,ug/m3,,1.0,1.0,1
183,DE AMICIS,10/01/2018 14.00.00,10/01/2018 15.00.00,API 200E,17.0,ug/m3,,1.0,1.0,1
184,DE AMICIS,10/01/2018 15.00.00,10/01/2018 16.00.00,API 200E,18.0,ug/m3,,1.0,1.0,1
185,DE AMICIS,10/01/2018 16.00.00,10/01/2018 17.00.00,API 200E,21.0,ug/m3,,1.0,1.0,1
186,DE AMICIS,10/01/2018 17.00.00,10/01/2018 18.00.00,API 200E,24.0,ug/m3,,1.0,1.0,1
187,DE AMICIS,10/01/2018 18.00.00,10/01/2018 19.00.00,API 200E,29.0,ug/m3,,1.0,1.0,1
188,DE AMICIS,10/01/2018 19.00.00,10/01/2018 20.00.00,API 200E,38.0,ug/m3,,1.0,1.0,1
189,DE AMICIS,10/01/2018 20.00.00,10/01/2018 21.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
190,DE AMICIS,10/01/2018 21.00.00,10/01/2018 22.00.00,API 200E,61.0,ug/m3,,1.0,1.0,1
191,DE AMICIS,10/01/2018 22.00.00,10/01/2018 23.00.00,API 200E,67.0,ug/m3,,1.0,1.0,1
192,DE AMICIS,10/01/2018 23.00.00,11/01/2018,API 200E,60.0,ug/m3,,1.0,1.0,1
193,DE AMICIS,11/01/2018,11/01/2018 1.00.00,API 200E,55.0,ug/m3,,1.0,1.0,1
194,DE AMICIS,11/01/2018 1.00.00,11/01/2018 2.00.00,API 200E,,ug/m3,,-1.0,-1.0,-1
195,DE AMICIS,11/01/2018 2.00.00,11/01/2018 3.00.00,API 200E,44.0,ug/m3,,1.0,1.0,1
196,DE AMICIS,11/01/2018 3.00.00,11/01/2018 4.00.00,API 200E,37.0,ug/m3,,1.0,1.0,1
197,DE AMICIS,11/01/2018 4.00.00,11/01/2018 5.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
198,DE AMICIS,11/01/2018 5.00.00,11/01/2018 6.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
199,DE AMICIS,11/01/2018 6.00.00,11/01/2018 7.00.00,API 200E,39.0,ug/m3,,1.0,1.0,1
200,DE AMICIS,11/01/2018 7.00.00,11/01/2018 8.00.00,API 200E,38.0,ug/m3,,1.0,1.0,1
201,DE AMICIS,11/01/2018 8.00.00,11/01/2018 9.00.00,API 200E,40.0,ug/m3,,1.0,1.0,1
202,DE AMICIS,11/01/2018 9.00.00,11/01/2018 10.00.00,API 200E,36.0,ug/m3,,1.0,1.0,1
203,DE AMICIS,11/01/2018 10.00.00,11/01/2018 11.00.00,API 200E,34.0,ug/m3,,1.0,1.0,1
204,DE AMICIS,11/01/2018 11.00.00,11/01/2018 12.00.00,API 200E,30.0,ug/m3,,1.0,1.0,1
205,DE AMICIS,11/01/2018 12.00.00,11/01/2018 13.00.00,API 200E,31.0,ug/m3,,1.0,1.0,1
206,DE AMICIS,11/01/2018 13.00.00,11/01/2018 14.00.00,API 200E,36.0,ug/m3,,1.0,1.0,1
207,DE AMICIS,11/01/2018 14.00.00,11/01/2018 15.00.00,API 200E,37.0,ug/m3,,1.0,1.0,1
208,DE AMICIS,11/01/2018 15.00.00,11/01/2018 16.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
209,DE AMICIS,11/01/2018 16.00.00,11/01/2018 17.00.00,API 200E,42.0,ug/m3,,1.0,1.0,1
210,DE AMICIS,11/01/2018 17.00.00,11/01/2018 18.00.00,API 200E,47.0,ug/m3,,1.0,1.0,1
211,DE AMICIS,11/01/2018 18.00.00,11/01/2018 19.00.00,API 200E,51.0,ug/m3,,1.0,1.0,1
212,DE AMICIS,11/01/2018 19.00.00,11/01/2018 20.00.00,API 200E,49.0,ug/m3,,1.0,1.0,1
213,DE AMICIS,11/01/2018 20.00.00,11/01/2018 21.00.00,API 200E,49.0,ug/m3,,1.0,1.0,1
214,DE AMICIS,11/01/2018 21.00.00,11/01/2018 22.00.00,API 200E,46.0,ug/m3,,1.0,1.0,1
215,DE AMICIS,11/01/2018 22.00.00,11/01/2018 23.00.00,API 200E,41.0,ug/m3,,1.0,1.0,1
216,DE AMICIS,11/01/2018 23.00.00,12/01/2018,API 200E,39.0,ug/m3,,1.0,1.0,1
217,DE AMICIS,12/01/2018,12/01/2018 1.00.00,API 200E,37.0,ug/m3,,1.0,1.0,1
218,DE AMICIS,12/01/2018 1.00.00,12/01/2018 2.00.00,API 200E,,ug/m3,,-1.0,-1.0,-1
219,DE AMICIS,12/01/2018 2.00.00,12/01/2018 3.00.00,API 200E,38.0,ug/m3,,1.0,1.0,1
220,DE AMICIS,12/01/2018 3.00.00,12/01/2018 4.00.00,API 200E,38.0,ug/m3,,1.0,1.0,1
221,DE AMICIS,12/01/2018 4.00.00,12/01/2018 5.00.00,API 200E,38.0,ug/m3,,1.0,1.0,1
222,DE AMICIS,12/01/2018 5.00.00,12/01/2018 6.00.00,API 200E,37.0,ug/m3,,1.0,1.0,1
223,DE AMICIS,12/01/2018 6.00.00,12/01/2018 7.00.00,API 200E,39.0,ug/m3,,1.0,1.0,1
224,DE AMICIS,12/01/2018 7.00.00,12/01/2018 8.00.00,API 200E,39.0,ug/m3,,1.0,1.0,1
